North;East;West;South;;;;;;
0;0;0;-50;;;;;#NUM!;0
-0.137002325;98.92791746;199.9999965;98.99679846;;;;;1;1
98.96518612;199.9284543;-0.061239341;98.99763564;;;;;10;2
199.8719808;98.91767631;98.9138889;-0.042706109;;;;;11;3
98.99762974;200;-0.000363645;98.99906119;;;;;100;4
98.82412666;-0.004961522;199.9683217;98.95169297;;;;;101;5
98.99953436;199.9113536;98.99924383;-2.266489749;;;;;110;6
49.49916415;-14.47786699;87.28220903;199.9255264;;;;;111;7
98.97463917;199.9968742;-0.019072577;98.96682564;;;;;1000;8
98.89095707;-0.017177397;98.88842523;199.6846448;;;;;1001;9
89.42256654;-7.837993318;90.80054669;199.9195124;;;;;1010;10
55.49485526;-25.55869901;73.09670727;199.2597464;;;;;1011;11
98.99905298;98.77209108;-0.007275683;199.9999571;;;;;1100;12
0;-0.003141706;199.5723549;70.09103596;;;;;1101;13
64.49080853;199.6517953;-25.39383494;0;;;;;1110;14
0;0;0;0;;;;;1111;15
-0.019358753;98.99979564;200;98.99909811;;;;;10000;16
98.97705461;-0.008391079;199.939486;98.99829785;;;;;10001;17
199.9937736;-0.013341467;98.99791293;98.99317202;;;;;10010;18
86.62257914;49.49847654;-25.72714326;199.9866502;;;;;10011;19
98.90727882;199.9982864;98.9981276;-0.002363128;;;;;10100;20
92.79644963;199.9935093;-0.062774525;95.89668156;;;;;10101;21
49.49166562;92.78975827;199.7343654;-0.332365463;;;;;10110;22
24.46912585;0;185.4410083;-18.91776832;;;;;10111;23
98.99068591;199.9715268;-0.001554779;98.98881282;;;;;11000;24
95.75988291;199.9466079;49.48589957;-0.139548355;;;;;11001;25
192.657146;-6.251459655;81.7114447;0;;;;;11010;26
0;181.9184232;-50;0;;;;;11011;27
92.92737383;92.87718579;-25.01928335;199.5650839;;;;;11100;28
-25.01428297;49.49311026;193.543671;0;;;;;11101;29
0;0;188.7531146;-8.669168106;;;;;11110;30
0;0;0;0;;;;;11111;31
188.4712847;-0.00174401;98.86371703;98.97869434;;;;;100000;32
98.98844789;98.99541403;199.9999941;-0.003101027;;;;;100001;33
-21.90220816;73.85568625;79.89317854;199.7860918;;;;;100010;34
57.01194985;49.49912749;174.4903454;-31.85801691;;;;;100011;35
-0.016721042;199.9417051;98.99251443;98.99595247;;;;;100100;36
199.9932617;74.14651216;74.23785902;-0.278555276;;;;;100101;37
73.96386227;-39.06578406;24.4992849;158.5652789;;;;;100110;38
0;36.02219843;-50;139.5939168;;;;;100111;39
199.8510982;85.33412644;77.93833728;-6.792811373;;;;;101000;40
-17.48102277;49.44535582;199.0716764;0;;;;;101001;41
0;0;-50;112.4965772;;;;;101010;42
24.640625;148.7292689;0;-50;;;;;101011;43
-28.12598013;43.24939598;49.27488465;199.1968189;;;;;101100;44
0;49.02415767;-32.13031148;178.1409181;;;;;101101;45
0;145.9710552;0;-50;;;;;101110;46
0;0;0;0;;;;;101111;47
98.98804154;98.85863753;-0.0003949;199.9999921;;;;;110000;48
93.95108285;82.82897388;199.9300838;-12.53762246;;;;;110001;49
-9.436821344;24.39037529;72.57405445;191.0512945;;;;;110010;50
0;0;0;0;;;;;110011;51
199.9637748;74.21368953;86.58442218;-3.821237886;;;;;110100;52
0;-28.06795158;42.14238053;192.9265701;;;;;110101;53
36.9408401;-62.55481235;0;188.3555492;;;;;110110;54
0;0;0;0;;;;;110111;55
-37.50208588;61.64887982;199.8691989;0;;;;;111000;56
188.5101399;-50;0;23.61686175;;;;;111001;57
12;119.4439732;0;-50;;;;;111010;58
0;0;0;0;;;;;111011;59
0;0;0;0;;;;;111100;60
0;0;0;0;;;;;111101;61
0;0;0;0;;;;;111110;62
0;0;0;0;;;;;111111;63
98.99505917;-0.017641049;199.9736646;98.93337188;;;;;1000000;64
199.9667891;-0.002017926;98.834141;98.97842462;;;;;1000001;65
198.0479111;-0.302138807;98.99333791;98.7648699;;;;;1000010;66
40.92205692;49.49992155;199.6854922;-50.01080052;;;;;1000011;67
199.9911812;98.99659635;-0.012200675;98.89979263;;;;;1000100;68
97.4069567;86.47183118;199.9714629;-3.126110774;;;;;1000101;69
-0.008369818;199.486715;0;92.69543255;;;;;1000110;70
-0.0116755;0;49.39638409;197.2556913;;;;;1000111;71
-0.004788284;198.3362237;98.99749802;98.99986302;;;;;1001000;72
49.44998602;-0.001683784;199.9409023;86.55266414;;;;;1001001;73
-12.50005441;49.40855293;49.47668842;189.8597417;;;;;1001010;74
-2.123432286;42.85718683;0;169.967797;;;;;1001011;75
-10.89980072;49.46449459;199.609534;97.79158483;;;;;1001100;76
0;62.5;-25.00472348;183.05914;;;;;1001101;77
43.2438847;-34.375;182.5712296;18.24387585;;;;;1001110;78
0;0;0;0;;;;;1001111;79
98.94808001;-0.007650553;98.99602121;199.9999954;;;;;1010000;80
86.62275883;-5.188677451;199.9595016;86.59309845;;;;;1010001;81
-1.513870869;73.85372852;196.8440745;97.39007665;;;;;1010010;82
-0.013511353;0;0;197.1257147;;;;;1010011;83
86.62107135;92.80327375;-0.495835544;199.9549597;;;;;1010100;84
198.4363676;49.49964205;-0.05386866;49.49952162;;;;;1010101;85
0;0;149.9686718;-0.00981282;;;;;1010110;86
0;0;0;0;;;;;1010111;87
-0.007736003;86.51615347;199.9421139;49.41582033;;;;;1011000;88
198.4327004;49.49826111;0;-0.008042348;;;;;1011001;89
0;74.18147932;148.4340939;-4.698989219;;;;;1011010;90
0;-50;0;0;;;;;1011011;91
-11.58994659;0;185.8491311;47.09124924;;;;;1011100;92
-18.76020443;0;45.39180228;149.2101979;;;;;1011101;93
-34.375;0;0;167.737322;;;;;1011110;94
0;0;0;0;;;;;1011111;95
98.98049889;98.99467182;-0.248907153;199.9923097;;;;;1100000;96
74.17566599;199.9366982;49.49748287;-0.493977755;;;;;1100001;97
-0.003265603;0;0;99.99836496;;;;;1100010;98
-50;0;0;191.9758128;;;;;1100011;99
49.49880072;49.49297879;199.9547988;-0.041656818;;;;;1100100;100
0;-0.006113689;0;187.451929;;;;;1100101;101
191.9501482;0;0;-37.50256907;;;;;1100110;102
0;143.676853;-37.5;0;;;;;1100111;103
-14.5037359;24.49674642;195.3632764;80.12637373;;;;;1101000;104
180.800779;35.38646044;0;-53.22579463;;;;;1101001;105
0;-32.8125;161.7195857;0;;;;;1101010;106
0;0;0;-50;;;;;1101011;107
-0.5;-38.30881424;0;193.0091551;;;;;1101100;108
-31.25001175;0;0;173.2385807;;;;;1101101;109
0;0;0;0;;;;;1101110;110
0;0;0;0;;;;;1101111;111
-4.721724493;94.14425674;86.58933642;199.9383224;;;;;1110000;112
37.55697849;0;-50;175.5582668;;;;;1110001;113
0;0;139.3963848;-50;;;;;1110010;114
0;0;0;0;;;;;1110011;115
86.42164141;0;-0.176769165;187.4569509;;;;;1110100;116
-31.25;0;0;99.95231076;;;;;1110101;117
-37.5;160.4925432;0;0;;;;;1110110;118
0;0;0;0;;;;;1110111;119
49.29543594;186.5121745;0;-50;;;;;1111000;120
0;0;0;-1.452461741;;;;;1111001;121
0;-41.87361677;0;66.25369441;;;;;1111010;122
0;0;0;0;;;;;1111011;123
0;0;0;0;;;;;1111100;124
0;0;0;0;;;;;1111101;125
0;0;0;0;;;;;1111110;126
0;0;0;0;;;;;1111111;127
199.9248483;-0.001012851;98.43463601;95.66504396;;;;;10000000;128
200;98.97263858;98.99976927;-0.002090943;;;;;10000001;129
45.5339501;24.49985068;199.7998914;-28.85606255;;;;;10000010;130
-28.70743252;63.50683358;0;193.6375621;;;;;10000011;131
98.99625412;200;-0.005032747;98.9988191;;;;;10000100;132
91.98765247;-0.031671788;86.50378759;199.9690371;;;;;10000101;133
0;0;149.9449032;-13.68827024;;;;;10000110;134
47.47352132;0;178.0408288;-37.50075354;;;;;10000111;135
199.7880869;46.36375124;88.21889331;-25.03775715;;;;;10001000;136
-9.268844214;34.24986915;48.64687993;191.0537821;;;;;10001001;137
24.49923433;182.2669436;35.70488835;-50;;;;;10001010;138
0;-50;0;67.18596896;;;;;10001011;139
-21.88245068;0;0;199.0337882;;;;;10001100;140
-25.02449658;0;0;172.6174049;;;;;10001101;141
0;0;158.4096959;-12.50320351;;;;;10001110;142
0;0;0;0;;;;;10001111;143
199.827548;-0.010007898;98.99766981;98.94830176;;;;;10010000;144
-0.113849378;199.7527445;86.6246508;49.49914011;;;;;10010001;145
49.34926439;0;-25.19749542;192.8216359;;;;;10010010;146
0;0;-50;0;;;;;10010011;147
0;49.49445387;-0.9782015;199.9534631;;;;;10010100;148
0;196.8541883;-0.004465148;49.49951758;;;;;10010101;149
0;-6.313745067;0;149.8936242;;;;;10010110;150
0;-9.084450389;0;95.06436906;;;;;10010111;151
-25.39648802;-0.5;199.7479006;74.07028406;;;;;10011000;152
0;-15.8313626;172.9117443;0;;;;;10011001;153
0;0;-50;166.0396435;;;;;10011010;154
0;0;-7.71929723;0;;;;;10011011;155
0;-40.63308358;0;177.8142345;;;;;10011100;156
0;0;-50;96.18022627;;;;;10011101;157
85.05715479;-37.5;0;0;;;;;10011110;158
0;0;0;0;;;;;10011111;159
92.54424092;72.90236768;199.9968156;-12.5079841;;;;;10100000;160
-15.84240065;45.97922347;23.38382465;197.4254087;;;;;10100001;161
39.33200704;178.3823546;0;-50;;;;;10100010;162
-50;50;0;0;;;;;10100011;163
181.993957;0;71.01226675;-50;;;;;10100100;164
-12.50097425;0;0;146.6374622;;;;;10100101;165
140.6158818;-50;0;0;;;;;10100110;166
37.57593058;-50;0;130.4681849;;;;;10100111;167
