[0. 0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.]
[-24.39373825 -24.35868866 -24.35612863 -24.18541236],[-24.60401397 -24.66701657 -24.70226994 -24.75762831],[-24.88531282 -24.97559377 -25.12291766 -25.02337859],[-25.10686021 -24.97275734 -24.35090547 -24.95763045]
[-24.34248193 -25.05048829 -25.21386713 -25.08576191],[-25.90467472 -26.31936011 -26.37312109 -26.16193239],[-26.3884207  -26.25421437 -26.21099182 -26.31028714],[-26.63947733 -26.80308126 -25.37704014 -26.71488607]
[-26.22227377 -26.98043248 -26.96490779 -27.06408575],[0. 0. 0. 0.],[-20.52467062 -20.63328335 -19.99989567 -20.33760919],[-26.63210796 -26.69265278 -26.49156486 -26.65904331]
[-25.17938511 -25.13109503 -23.88927953 -25.16162223],[-22.98079156 -24.20617827 -24.01867497 -23.99812437],[-24.49724902 -25.19024287 -25.19359834 -25.20951793],[-25.42975503 -25.30909178 -25.36337341 -25.19955516]
[-25.39263016 -25.56899605 -24.38543951 -25.49678313],[-26.66892414 -26.70212557 -25.84189395 -26.70835245],[-27.6644993  -28.18404144 -28.14561386 -28.08678825],[-26.73622309 -25.27146332 -26.71847794 -26.78055425]
[-26.33852509 -26.24840845 -26.58556784 -26.5429318 ],[-28.16152212 -28.05168601 -28.07383989 -26.94616931],[-29.52063452 -29.19756149 -29.41758192 -29.27040583],[-27.1079488  -28.83447303 -29.14799032 -29.06252928]
[-26.28625633 -27.52011319 -27.52200906 -27.58701721],[0. 0. 0. 0.],[-16.00862742 -16.01989268 -15.87640995 -15.60580832],[-29.19531014 -29.08042669 -29.15715278 -29.12144465]
[-27.24449013 -25.29815175 -27.2803904  -27.14759636],[-25.15789084 -25.2046194  -25.23585703 -25.00163343],[-26.15305372 -26.29706197 -26.03759725 -26.12772242],[-25.88173024 -26.52147403 -26.50559029 -26.38112632]
[-27.47279566 -25.95691126 -27.52319641 -27.52689291],[-27.4923616  -25.93489344 -27.35743018 -27.33808201],[-28.95783828 -29.1884272  -29.03081775 -29.16863257],[-28.24209972 -28.92697765 -29.04951089 -28.91205016]
