[0. 0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.]
[4.15194615 3.75923074 2.39541705 1.48305302],[ 0.         -0.27967565 -0.17774984 -0.63550357],[ 3.63937873 -0.60068327 -0.40156921 -1.69514732],[ 5.38590439  2.01881698 -0.38868825 -2.14316927]
[-1.66827229  2.82908542  1.05606492  0.4801881 ],[ 0.         -0.15824106  0.         -1.26552981],[-0.45102448 -0.69948445  0.         -1.59138243],[-0.48972992 -1.25236196 -2.58496576 -2.99488353]
[-3.63452923 -3.86079018 -2.13696961 -1.33049759],[0. 0. 0. 0.],[0. 0. 0. 0.],[-0.11131095  0.          0.         -0.66305302]
[ 5.56640883  2.48698837 -0.17212765 -2.15815787],[5.34321695 3.98875344 2.71580415 1.68622104],[0.03920893 0.         0.0122873  0.        ],[ 3.07817748  0.         -0.01014424 -2.52517704]
[ 4.48976107  3.55532653  0.56683827 -0.86834893],[ 2.81346249 -1.83308158 -4.11069803 -5.16912185],[ 0.          0.         -0.81340527 -0.88219815],[ 1.82171179  0.15171344 -1.19645477 -4.25250918]
[-0.87063353  2.18476634  0.15299047 -1.02144098],[-3.40927336 -4.104331   -6.11456367 -6.07191938],[0. 0. 0. 0.],[-1.35380791 -2.88982503 -3.40991912 -6.00791352]
[-5.20675705 -4.143573    0.21461877 -2.29374195],[0. 0. 0. 0.],[0. 0. 0. 0.],[-1.47020775 -1.1246074  -0.83030415 -0.76781749]
[-0.47946181 -0.90298325 -1.1031496  -2.71688877],[-1.02437199  2.68269225  1.26185462  0.69858539],[0. 0. 0. 0.],[ 0.          0.          0.         -1.42204796]
[ 2.19924843 -0.57279613 -2.50362243 -5.49274884],[-3.49031209  0.03672523 -3.70590953 -5.08116293],[0. 0. 0. 0.],[-1.74401893 -2.64436175 -4.01208487 -2.24641793]
[-5.185779   -0.133544   -2.63443614 -5.20776235],[-2.39688964 -2.91406004 -3.15801534 -3.91156411],[-0.93885574  0.          0.          0.        ],[-1.13826069 -1.97082474 -1.71356282 -2.22502488]
[-5.51414685 -5.1817678  -1.43225699 -6.01633101],[0. 0. 0. 0.],[0. 0. 0. 0.],[ 0.          0.         -0.70421768  0.        ]
[ 0.         -1.2131107   0.         -0.56824248],[-3.86781004 -3.34291423 -0.46868111 -2.14868255],[0. 0. 0. 0.],[0. 0. 0. 0.]
[-2.33236125 -3.80488575 -5.05394671 -6.11921319],[-1.46256634 -1.89875432 -1.0668448  -2.64337829],[0. 0. 0. 0.],[-0.25154051  0.          0.         -0.97929154]
[-7.16899583 -3.28194667 -5.04126128 -6.61966158],[-0.4        -1.46834052 -1.27718707  0.        ],[0. 0. 0. 0.],[0. 0. 0. 0.]
