[0. 0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.]
[133.93981911 170.33962587 128.58410188 133.54988931],[0. 0. 0. 0.],[0. 0. 0. 0.],[ 0.          0.          0.         39.32053058]
[ 51.67041691 148.69565076  76.39094649  67.2324238 ],[0. 0. 0. 0.],[0. 0. 0. 0.],[10.79069204  7.88488152  0.          0.        ]
[ 66.21539438  66.72035337 141.62371701  61.79454651],[0. 0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.]
[ 0.          0.         15.44669965 61.27001036],[ 97.79214983  84.16643088 113.28334572 157.14722158],[0. 0. 0. 0.],[0. 0. 0. 0.]
[168.87204829 178.48344517 169.58489733 160.55792365],[137.89638007 137.64995196 151.56892973 132.17048755],[0. 0. 0. 0.],[28.59629896 52.71575067 13.90408278  0.        ]
[150.30742471 160.52314184 162.32568577 160.36661699],[ 93.80976814 151.78379973  95.88156235 103.07944213],[ 0.         -0.08466152  0.          0.        ],[ 46.39532977  74.43171539 105.9328702   41.59741394]
[143.85334074 141.39640067 168.60444677 149.15469665],[0. 0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.]
[ 0.          0.          0.         13.43075964],[ 24.24658299 139.37854502  57.05698104  52.8994124 ],[0. 0. 0. 0.],[0.         0.         9.94719931 0.        ]
[139.85182156 166.43988068 151.68031635 138.32278713],[ 79.83805261  86.38805085 150.92617793  99.47131631],[0. 0. 0. 0.],[63.43805765 30.23015484 11.59101538 37.56383262]
[140.37858267 169.39832922 154.05433686 140.63236917],[ 41.2624806  116.31232625  50.95189519  39.4382985 ],[0. 0. 0. 0.],[22.96891653 28.90844578 39.63726914  0.        ]
[103.72791227 120.68355197 153.08568761 125.10721696],[0. 0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.]
[0. 0. 0. 0.],[ 76.33475344  60.9324767  132.61294127  81.33654174],[0. 0. 0. 0.],[0. 0. 0. 0.]
[126.63326677 154.11178449 142.5093164  136.38091934],[ 25.12071114  53.45892099 123.84605393  63.71733884],[0. 0. 0. 0.],[0. 0. 0. 0.]
[107.5264229  137.06585865 145.36220363 131.13058502],[15.18922988 35.6484334   7.77430073  6.48976555],[0. 0. 0. 0.],[0. 0. 0. 0.]
[ 40.64339306  85.4953516  137.39802499  82.58273219],[0. 0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.]
[0. 0. 0. 0.],[ 0.          0.          0.         14.57323155],[157.65759503  68.81593652  90.48118487  85.19523633],[0. 0. 0. 0.]
[132.57524945 165.22621915 148.77915327 137.70335927],[ 0.          0.          0.         12.60526627],[124.96944937 164.41580249 141.82651692 121.3415225 ],[ 0.          0.          0.         11.99213488]
[ 93.70248728 133.67345445 132.92388585 149.3580355 ],[0.         3.00885269 0.         0.        ],[136.87638335 162.6749556  139.95188023 125.62712283],[16.46175242  0.         10.52777986  0.        ]
[ 63.55469366  69.74492325 150.30125581 108.58658321],[0. 0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.]
[15.3899118  28.61284604 24.69450935 82.49710023],[166.25515497 178.4893354  173.14014796 159.88482828],[152.79425877 136.68492308 135.24439009 127.32417736],[0. 0. 0. 0.]
[150.22306018 175.8627481  159.60308364 150.37107036],[140.90822202 160.37753093 146.50238965 140.77802525],[109.43675681 145.48955264 135.45666126 113.31429704],[ 0.         54.08005574 12.95573865 19.43880032]
[141.59193975 156.55834733 163.97023201 149.90055782],[123.29503218 148.02401019 112.89912268 109.84716981],[ 86.10840542 130.88800042 105.51912069  83.87102881],[43.97814667  5.69050273 16.58809683  2.95839748]
[134.63805056 134.02323581 164.17487917 144.81748364],[0. 0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.]
[108.26901912  53.77231648  55.14316308  55.34410032],[149.85898326 163.2929269  171.08089181 163.05591743],[105.06453061 149.51582619  97.59377071  92.6805025 ],[0. 0. 0. 0.]
[144.850723   168.34074982 148.33559526 134.35376376],[126.03954803 137.76853607 153.06911959 139.44813684],[ 59.83333886 130.96874217  60.8089265   48.83720447],[ 0.         20.11522443  9.30132999  1.248278  ]
[134.71652957 164.59754106 154.17049955 133.78141644],[117.16685306 146.73649655 120.38723167 112.19883423],[14.3184062  75.62911322  6.67681344 -0.64599437],[22.07568193  0.          0.          0.        ]
[126.85742172 126.22646366 154.01144759 126.50128117],[0. 0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.]
