[0. 0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.]
[ 0.         13.00578355  0.         11.30428211],[0. 0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.]
[64.36556728 93.03249461 97.45278953 90.5389135 ],[0. 0. 0. 0.],[0. 0. 0. 0.],[11.99449849 60.22454938 44.93579463 46.04315769]
[105.7584432  105.42001525 117.81359764 117.64494904],[0. 0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.]
[ 0.         11.89914069  0.          0.        ],[12.43925842 23.01347453  8.33850109  0.        ],[0. 0. 0. 0.],[0. 0. 0. 0.]
[114.56321994 123.10245135 120.31794373 119.48203374],[102.64194544 116.73248085 116.20581467 115.89168959],[ 0.          0.          0.         11.53380681],[57.7676332  47.20653137 54.98433854  0.        ]
[113.7508582  117.54885673 180.         120.50160067],[112.05257537 116.4273751  103.98252621 101.99588924],[22.1014808  35.714081    9.62593329 18.39636325],[117.09673056 114.3456531  111.25610897 110.8769293 ]
[115.52697405 110.94524838 122.72580013 120.37862622],[0. 0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.]
[22.0556456  16.93028819 20.66015452  0.        ],[87.03126824 95.0733743  95.45905064 94.1362776 ],[0. 0. 0. 0.],[0. 0. 0. 0.]
[119.62000413 121.33094687 115.25331413 111.91198627],[105.11611797 109.58282306 116.68535813 116.18957015],[11.62606479 11.23947549  8.74542456  0.        ],[113.5711433  105.55874704  99.6060254  104.2566213 ]
[111.82204251 117.68198767 126.8726762  111.94317296],[102.22042291 116.78256386 104.95768852 102.86560582],[37.02886449 20.55547644 24.52354454  0.        ],[116.00841892 106.44312423 101.31820865  97.08080164]
[112.27005291 110.26121227 119.22584743 111.9464073 ],[0. 0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.]
[0. 0. 0. 0.],[111.07212721 107.55306335 117.97115602 118.05225796],[0. 0. 0. 0.],[0. 0. 0. 0.]
