Lane 0,Lane 1,Lane 2,Lane 3
0.0,0.0,0.0,0.0
-1.1743459886742866,-5.559862154864724,-8.99778256916372,-11.783165139377656
-3.391385524623935,-6.147301538519036,-9.139979654793374,-12.90478332830183
-8.098515167518302,-6.948018954916128,-4.695883326013388,-11.98977211172809
-1.6513725612568089,-5.950381582540515,-9.944053601154208,-13.623220591646016
-4.522899858361991,-7.113277873628313,-10.883646786568852,-15.178960142893372
-6.751708858935344,-5.31776762147513,-10.215027888119538,-15.228883588293321
-12.195040358639433,-12.712120143471857,-9.129943895610335,-14.741960141566242
-4.336864631262423,-3.406774561636915,-8.293414436667423,-11.708192349358256
-5.668391386177004,-10.582441550508548,-12.785416545600611,-17.54389628653912
-11.792977454792702,-7.862481797939473,-13.50590378818663,-16.499274261553243
-15.979050540720225,-13.777414949495926,-9.218706055284283,-15.287029163456902
-7.811634969885773,-6.507963632961197,-5.484628128523439,-12.414961980589224
-9.526162268459853,-12.163027739096112,-14.595083928903282,-18.127231493894676
-11.366611338798064,-11.065343821474743,-14.090208213557267,-14.959154133320233
-14.53545279638286,-12.459587128948272,-11.371778293120412,-16.354931416618893
-1.6234505608988403,-5.888338276621407,-9.573443945491054,-13.95081988130799
-3.3037502415628874,-7.394870146438841,-13.415843741948384,-14.223479652603285
-6.147364851319701,-12.322310121972626,-13.694969948980013,-16.469728667155202
-10.16709411402935,-9.864049922235475,-9.576026951314178,-13.6510020144274
-3.058160935741017,-7.2102410318753565,-10.898671230760726,-16.00839038189611
-8.585945716341001,-9.202510522938026,-14.200116388741773,-18.53188601052921
-8.910822898580445,-10.908651896048093,-14.583199761357434,-20.129984329719615
-15.676050485509595,-12.683604912816076,-11.585245847499788,-17.471969709152912
-6.812870067458211,-8.551617194017432,-12.011281829124348,-15.543116943619697
-10.04305382328546,-9.615578592287493,-14.649637485579461,-18.810930189332424
-12.435341364539493,-9.544784387874598,-15.363577151963458,-19.45973116245089
